Gene,P-Value,Corrected P-Value
ZNF600,7.961666600999047e-06,4.261580641652948e-05
ZNF675,2.9997052524805996e-06,1.9045249055016443e-05
SFT2D1,5.35259935770285e-09,1.349151718013139e-07
DEPDC5,4.5148081662335166e-09,1.1816454754501821e-07
ZNF680,3.5097738816284836e-09,9.821967216434172e-08
VPS54,1.279945931674542e-07,1.503060504034324e-06
RPL9,6.989250932988783e-07,5.722481971690891e-06
ZNF184,1.226948534480491e-05,6.190899817531243e-05
KIAA0825,4.9415980546802434e-08,7.388027557367148e-07
FIG4,1.4007851758437445e-06,1.0064627655798963e-05
GSTP1,3.2924811242487193e-06,2.059262979372523e-05
COX7C,2.5415500891600545e-07,2.6045063198162005e-06
NDUFA4,1.187177991492472e-06,8.815376362082192e-06
UBA1,1.8488165780389894e-09,6.285976365332564e-08
DDB1,1.0540363375324488e-12,5.228978449013248e-10
BCAP31,4.990648200356257e-06,2.8941516715562268e-05
FLNA,1.4679439914234785e-06,1.0457663656916347e-05
SNU13,2.810036805295415e-06,1.812573386110766e-05
DNAJB1,4.9948525368434964e-08,7.441597431657985e-07
ERGIC3,2.6157932424723677e-07,2.658172015674434e-06
ARHGDIB,3.8144409404814136e-07,3.5826857508101677e-06
TUFM,3.7610690149116056e-07,3.541700364861541e-06
TXN,2.371051724593212e-10,1.513313363871948e-08
SRPRA,7.119891795196612e-08,9.677023543309567e-07
OXA1L,3.6892757055674644e-10,2.054324237273638e-08
CBX3,5.419545196198171e-10,2.725756510198472e-08
TARDBP,3.80190823161515e-06,2.3132640652374678e-05
IGFBP7,2.0740087487341505e-06,1.396405396896022e-05
LASP1,4.30454645638536e-06,2.5616041453102412e-05
IARS,2.108936376055957e-05,9.769495589250728e-05
MAGED1,1.7190327748547876e-12,6.948712483246352e-10
MFGE8,1.6581770836568586e-05,8.004132990283483e-05
PSMD3,2.0702407723048706e-06,1.3947288758602072e-05
PRPF8,2.108151761849113e-08,3.8411299380335926e-07
DAG1,7.431398039503693e-06,4.035138219061856e-05
IMMT,9.86860201733989e-12,1.6679333513657406e-09
TMEM59,1.3893552155914668e-07,1.5978316989425994e-06
SCD,1.56134221190724e-05,7.607361116408757e-05
COPZ1,2.338070296328401e-06,1.5427871350742543e-05
PPM1G,1.2307270163138712e-11,1.9753168611837635e-09
SF3B2,5.270509878730486e-11,5.351465117321237e-09
DYNC1H1,3.199154515140807e-08,5.362579609493043e-07
PSMB7,1.7447918818802947e-05,8.333720436934448e-05
ANAPC5,1.5481553024564907e-10,1.1264377980673427e-08
SPARC,6.628618656427141e-06,3.66673816605402e-05
GLB1,4.96566704311671e-06,2.883652990179929e-05
RPN2,3.5431020627236263e-06,2.196883227408297e-05
DCTN1,2.115105453265345e-08,3.8444977318827446e-07
CD164,9.267718559030448e-07,7.168524475780179e-06
CIRBP,1.1356518107760426e-06,8.495204840856566e-06
COX7B,2.783724514700233e-09,8.211234960388741e-08
NOLC1,5.934263932090777e-07,5.055937279846896e-06
SEC16A,2.274476290579044e-10,1.4775972759154575e-08
WDR6,1.300433856287607e-07,1.5228471145410883e-06
AKR1C3,6.1725450923832885e-09,1.505415204468319e-07
MSN,2.2380573009097707e-07,2.364584451319384e-06
CDC37,7.194469278379978e-10,3.313098637309666e-08
GOLM1,1.380353423904815e-05,6.860281087658084e-05
TMEM123,4.829006963418775e-06,2.8229128012186667e-05
RCC2,7.985819569208175e-08,1.041396295177478e-06
ATP5PF,7.882705464618983e-07,6.325871135356734e-06
SSRP1,7.753161293848676e-13,4.453579071634971e-10
ATIC,2.604908346080056e-12,9.170957964231526e-10
RGS2,2.7878284489866786e-08,4.7615586372833507e-07
MRPL13,4.3160960078885916e-07,3.9684811988286515e-06
HNRNPH2,7.45812325276006e-09,1.7440693874803856e-07
EEF2,6.384594121377906e-07,5.360112326209113e-06
ATP6V0C,5.902027389184061e-07,5.0402759722656375e-06
PRRC2B,1.0717796450644318e-09,4.352952592067423e-08
ANXA6,1.9975703145877162e-09,6.566711570304318e-08
MLLT6,1.5935959384735766e-08,3.0728809315372114e-07
PSMC3,2.75254899910826e-08,4.7458641036757584e-07
RUVBL1,1.4878012268122203e-09,5.498589466547111e-08
RIC8A,1.800832921154005e-07,1.973322339505503e-06
ACTN4,5.20146737727448e-08,7.679147600462198e-07
TMEM248,6.526103624769001e-08,9.027363112893394e-07
COASY,5.307318580180783e-07,4.626523561029798e-06
CD44,2.6865992250984225e-08,4.6616127094951005e-07
GSS,4.4983492591099767e-07,4.1049317570172475e-06
PPP1R7,6.749618276652475e-09,1.6160370101224023e-07
KHDRBS1,2.828446281333966e-09,8.280407160648604e-08
RPL7,7.939017126910816e-08,1.0402172293803406e-06
ACTR10,1.042255655262701e-06,7.910416009413851e-06
SPTAN1,1.0391788951275524e-10,8.527517640166998e-09
EPRS,2.2322761701236004e-09,6.96087489163685e-08
VPS11,1.5366064102369312e-08,3.005469957226858e-07
YPEL5,6.652836782310286e-10,3.1297008897471756e-08
ATP5MC1,6.300795115880043e-06,3.5103051503172426e-05
RAD23A,3.6646143740039767e-06,2.2507372694360945e-05
SELENOT,1.438218635384901e-07,1.64708480446913e-06
ARF3,2.292299980205668e-07,2.4046050590878628e-06
FAM168B,1.3587470634696185e-06,9.827279954080462e-06
GBF1,6.883917356216615e-10,3.210729659220006e-08
EFTUD2,3.8373963581287056e-12,1.0512859438966546e-09
VAMP2,2.988918565424368e-08,5.081161561221426e-07
HSBP1,2.0141516585014975e-09,6.569205532659526e-08
RAP1A,1.0228953633802038e-07,1.2547543552347484e-06
ATG3,9.802640962672012e-10,4.099081358873653e-08
XPNPEP1,2.81440634248522e-07,2.820021784273147e-06
NAT10,1.2371469690439924e-08,2.562091464923365e-07
MTOR,7.118525578287169e-06,3.890415030617233e-05
TMEM30A,1.1482018505091908e-07,1.3801183916803204e-06
TRAF3IP2,1.789725928478446e-09,6.208183334451537e-08
RNF40,1.5738665857221255e-06,1.1125116526276735e-05
NUDC,1.6221751961765355e-09,5.823822398378522e-08
MRFAP1L1,1.9552442449543297e-05,9.154669965436103e-05
SYVN1,9.066910703230854e-08,1.1453271228595087e-06
ADIPOR2,6.865594330955339e-07,5.655177096456345e-06
VPS28,8.979939702663251e-06,4.7209567396371256e-05
PRPF3,6.776142835316093e-07,5.615400372410011e-06
CKAP5,1.2155798421175625e-14,2.6533676793742153e-11
TMEM167B,4.7502090147837807e-07,4.281071939500427e-06
ARHGAP1,1.7554688768375506e-06,1.2141436832576064e-05
RHEB,1.0554172905095458e-05,5.430845972947281e-05
AP2B1,1.2104931558150849e-09,4.668311767691109e-08
UBE2A,2.444318373488616e-06,1.6060981774987813e-05
SLIRP,9.883995964615465e-08,1.2258401358842408e-06
CBX5,4.418806199060656e-09,1.171293136084857e-07
ESYT1,2.251010665502395e-09,6.96851931154328e-08
CARS,1.769561803044652e-06,1.221568470488889e-05
LSM3,2.3330007348692424e-09,7.112393860436567e-08
RPS3A,6.885187662647283e-09,1.633585611959401e-07
CLK1,5.452557595441334e-11,5.409928508786066e-09
RBX1,7.654458163424409e-07,6.174483103888692e-06
EFCAB14,4.0461553363473785e-06,2.43170370819908e-05
TMEM214,1.184152015258159e-10,9.23131078180539e-09
TOMM34,1.57742829995734e-09,5.700679624415368e-08
TMEM167A,1.9582669371902347e-11,2.8191115917369983e-09
CIAO2A,8.121446274071247e-09,1.8504689902967345e-07
CNIH1,2.2565636770844136e-06,1.4971511228996529e-05
FAF1,3.246307758640155e-10,1.854984443863804e-08
VPS26B,7.98651914113569e-08,1.041396295177478e-06
CCT3,5.019424084682016e-07,4.452954366179991e-06
BAZ1B,2.847138251213686e-10,1.7135248051111494e-08
AKR7A2,1.9740167545243523e-07,2.124696139928874e-06
MRPL1,3.98206552334501e-07,3.7113802836710025e-06
ALDH18A1,1.1593282317080799e-05,5.8878121548915695e-05
UNG,3.2725960371168653e-06,2.04917459260433e-05
SPTBN1,9.77126094951107e-11,8.20334938484337e-09
RAPGEF1,5.5591511407573485e-06,3.161477237407204e-05
TAF7,1.1210716979474934e-09,4.35422651651208e-08
POLR2L,4.808584950809159e-06,2.812481037145293e-05
KEAP1,3.0176167736562255e-06,1.913670509452879e-05
MYO1C,8.855516692198014e-07,6.933221605355032e-06
LARP1,4.5363547548514414e-12,1.1788041855821102e-09
FCGBP,2.5260035859114873e-06,1.6518156462934673e-05
WDR59,8.63224241510724e-09,1.9226998718057228e-07
MAP4,1.5429573846027555e-09,5.6207838038391084e-08
CHMP4B,7.105183946082568e-06,3.887016420428328e-05
ADRM1,6.799663139689285e-07,5.629099761962825e-06
AKR1A1,1.3986527705003033e-05,6.929140416359651e-05
SRRM2,8.70489652726068e-08,1.107287187628474e-06
ADD1,9.404947994295928e-08,1.1839169828113699e-06
S100A9,1.4626066166380375e-05,7.200220394220813e-05
PSMC1,2.81640438414672e-07,2.820021784273147e-06
HLA-DMA,2.28427858946355e-08,4.0936972948120174e-07
AIMP2,1.0340367048411511e-09,4.263628943511949e-08
PRRC2C,1.1272144500718596e-08,2.370408190382327e-07
RPA1,1.2465007969956572e-07,1.4755216592636227e-06
DYNLT1,3.099864525999978e-09,8.92662834743107e-08
TMEM165,3.140153336810722e-08,5.281144949906472e-07
KBTBD2,1.6893088652884197e-05,8.11135809756173e-05
PFDN5,2.0216164651924908e-07,2.169510531082679e-06
ABCF3,5.931775248461233e-08,8.429608731992955e-07
TNPO1,2.117794658949599e-05,9.806368649883717e-05
CDK2AP2,1.35306525568666e-06,9.805680080055915e-06
KIF3B,2.2219864990725912e-13,1.4265153324046036e-10
SERPINB2,1.4059826468155986e-06,1.009532539956937e-05
AARS,1.597587216599727e-05,7.759709337770102e-05
UBE2Z,6.794062670579378e-06,3.748756318842433e-05
MTHFD1,5.726251803564947e-12,1.3020065038355797e-09
PIGY,2.696412654746717e-06,1.7506631596612533e-05
TRIM44,4.13423018800039e-07,3.83030460711683e-06
TCEAL8,1.0376127277372884e-05,5.3442686694312254e-05
ARHGAP17,6.107792673292895e-12,1.3440501543089736e-09
CTSB,8.465486712321685e-06,4.485064173702858e-05
ERH,6.727502674280011e-06,3.7176690727641545e-05
CD99L2,5.251486809119404e-10,2.6658012574292636e-08
IQGAP1,7.068405860167926e-06,3.870776796682024e-05
CHERP,1.8133738410270795e-08,3.424076488057015e-07
MYL6,1.4990341208391633e-05,7.35963040703492e-05
PRRC2A,3.954865991623157e-07,3.6923359651475736e-06
CTDNEP1,2.1075993587629465e-09,6.765393941629059e-08
CASC4,4.203844238620394e-08,6.639822065774688e-07
STIM1,1.0917728808285077e-09,4.352952592067423e-08
SLC43A3,3.4428851077894083e-07,3.2903369585300877e-06
COPG1,1.0399879788235238e-07,1.2696229083758319e-06
B4GALT3,2.940030672847503e-10,1.7438855849705245e-08
PIAS3,7.939352685301664e-08,1.0402172293803406e-06
FEM1A,9.172782630541373e-09,2.0161371700428826e-07
GON7,1.899220130021522e-06,1.3011982736380974e-05
RAP1B,1.8072869824748404e-07,1.9784082373851964e-06
VPS45,4.368815346907319e-06,2.594192094458459e-05
HEXA,2.477586169441786e-07,2.5558010825413663e-06
TOX4,1.8772807141200382e-08,3.4918285687560913e-07
TGOLN2,6.42336914137148e-07,5.388520431124391e-06
TBC1D5,2.9451460029314966e-11,3.6526503949993585e-09
UNC45A,1.5883509349686283e-07,1.7689042963517967e-06
TWF1,4.724332293650794e-08,7.272406580099402e-07
TM9SF3,1.709590952351092e-07,1.877110226756521e-06
TMEM126A,5.77406568519601e-07,4.958155223306786e-06
AAAS,5.783359979320538e-08,8.261726546374915e-07
SLC35A4,2.11657828396556e-07,2.2558921280468868e-06
PNRC2,9.269800483227617e-08,1.168251760669125e-06
CIC,4.031645778837366e-06,2.426223981626395e-05
RASA1,1.327582512593968e-07,1.547995250261813e-06
GUCD1,2.0058637959964163e-05,9.34379522111613e-05
ATP1A1,5.3939663717834986e-08,7.843526283662753e-07
BAP1,3.6171341475796386e-06,2.2253326993621293e-05
PACS1,1.2680015844556372e-08,2.606208906355711e-07
RNF13,2.037306721219739e-05,9.477905181326612e-05
SSR1,1.667407447638777e-05,8.03447456226473e-05
KTN1,1.1009841191914472e-07,1.327750351033752e-06
VPS52,9.181053449801289e-09,2.0161371700428826e-07
RBM39,2.890550711305989e-07,2.873175816319997e-06
NAA20,3.0868831018344664e-06,1.9507957251546826e-05
REPIN1,4.749810214586302e-06,2.7855684407305155e-05
SUPT16H,4.954368745794313e-07,4.4140392238040105e-06
CERK,8.085889005180678e-07,6.4556980689496655e-06
NDUFB3,2.065706224446948e-09,6.67015317562544e-08
RANGAP1,3.3450087122454974e-08,5.550456920622309e-07
KDM2A,5.263928408704072e-07,4.610795718506921e-06
STAT5A,2.4001715605276593e-08,4.2733233950405995e-07
DNAJA1,7.644396977209276e-09,1.7662209136443518e-07
GOLGA2,1.7500055632534119e-06,1.2114520663386493e-05
STK10,5.332681887609527e-08,7.812200016291326e-07
EP400,6.42849002783507e-11,6.0483224279131006e-09
RPS7,2.4568731337593528e-08,4.3600509563983047e-07
YTHDF2,1.1468775736698376e-10,9.005051682757271e-09
HSPA4,4.3434977145140804e-07,3.9903143144955115e-06
STX5,8.43212975533274e-07,6.659063976099965e-06
THRAP3,3.278785269200735e-07,3.172399151423477e-06
ASAP1,1.1081057822321542e-05,5.661922522135642e-05
WASL,3.7269265969375077e-06,2.276199041912477e-05
YTHDF3,1.106726121363438e-05,5.6601728624932344e-05
SQSTM1,1.3301599872311336e-05,6.647145650476462e-05
HLA-DPB1,5.929071798337394e-07,5.055460125551118e-06
IARS2,9.941535196309068e-06,5.139834918641268e-05
BMS1,1.6822855915856376e-06,1.1739427715195429e-05
ADD3,1.0476600681553969e-08,2.2508192881590553e-07
GCN1,1.5157625347434021e-09,5.5700445468651487e-08
PUF60,9.99614813567851e-08,1.238342346796768e-06
FOPNL,2.2235610175819143e-06,1.4779503621126073e-05
HMCES,2.8603380935391017e-06,1.835615065947745e-05
CHTF8,4.700454639961065e-09,1.218545414264491e-07
ZNF212,1.571390551908756e-08,3.046208966879602e-07
FAH,1.1992420531475208e-06,8.873578147831894e-06
SCAMP3,7.948468979089371e-06,4.2586936886490624e-05
TDP2,1.324717453247269e-06,9.638644189827127e-06
GNB1,6.012974246879143e-06,3.370600972287569e-05
TOP1,2.9999849835959766e-07,2.9603830118414548e-06
DHPS,2.656855742460489e-07,2.6873886536806097e-06
MRPS2,5.612757059878464e-08,8.081481603102051e-07
NEK7,3.258484601742644e-08,5.429481060064002e-07
SPOCK2,7.26358491181141e-07,5.924870383221953e-06
LXN,7.772396718780127e-08,1.0257308076029782e-06
DYNLRB1,4.5497920845951024e-07,4.141487140222765e-06
SLC25A36,3.0391478645271546e-06,1.923970985698919e-05
TRAM2,5.791850198844367e-08,8.263039617017964e-07
EXOSC10,9.564160785748842e-13,4.970630991222041e-10
UTP4,1.9542769614838093e-08,3.6089642567909126e-07
ANXA1,7.465815312235473e-10,3.3950795132390814e-08
HSD17B10,5.298668661324307e-06,3.0452696034593727e-05
TMEM50B,3.04455555115082e-08,5.143696483786386e-07
VEGFB,5.4858472722666515e-06,3.13468780782818e-05
NFKB1,6.999326552674271e-11,6.27184846960039e-09
POLR2A,3.1527025981877433e-09,9.007485904874616e-08
ABLIM1,1.4431036749702404e-06,1.029413954812105e-05
NECAP1,1.237137873034115e-06,9.08593927296459e-06
PFN1,5.586021848135327e-06,3.170350621453404e-05
PSMD10,5.572796596076472e-06,3.164490221101905e-05
CNOT1,2.0275891510304828e-14,3.161301142049527e-11
GNAS,1.3694168257308367e-06,9.89134032827687e-06
RNPS1,5.4923878130541095e-08,7.949916222277997e-07
MEN1,4.8438325310325576e-08,7.34760004034715e-07
FOXN3,5.992477348147579e-11,5.787778564396696e-09
BIRC2,6.142548102592644e-11,5.856251767927174e-09
KLHL9,7.299021505359132e-08,9.822628940750871e-07
COX6C,2.2476979786814735e-08,4.04141280713832e-07
POLR2K,3.513547021915559e-08,5.779644857827673e-07
SF3B6,5.753951734396649e-10,2.820234680366882e-08
CYFIP2,1.959701510753464e-06,1.3334278234640464e-05
GNA13,1.9321172603997737e-06,1.318769717323523e-05
MICU2,3.9461696652626724e-10,2.175176551852364e-08
RBM15B,3.2962478393768e-07,3.1864702319715138e-06
JAK1,1.4105437802872694e-08,2.824710975789956e-07
RNF19A,7.157635513258568e-08,9.71622313329652e-07
MED27,1.2603362960406507e-08,2.5953415726391814e-07
RB1,3.233974089211483e-06,2.0284823683709266e-05
PTPN18,1.2182252878112413e-06,8.977488412061809e-06
ST6GAL1,6.865031371244374e-07,5.655177096456345e-06
HUWE1,2.070392151447989e-17,2.2596259940903351e-13
GMFG,1.130255920061323e-06,8.460639994203895e-06
THRA,5.1524777584318295e-06,2.9785032974324677e-05
PHF5A,8.241548960600054e-09,1.8661465841491492e-07
AAR2,1.02015163032587e-08,2.20911406614614e-07
ATF5,3.7216138107417383e-06,2.2742269389941398e-05
CASP3,5.666632756642334e-10,2.798444792126445e-08
RNF103,1.3546594352429624e-09,5.142095254710109e-08
DBI,4.227638245923975e-07,3.893708338904157e-06
EIF4E2,9.528037556589955e-06,4.963675508001087e-05
GLG1,1.8206320658498637e-08,3.431844277493163e-07
SRSF4,8.442448750523205e-09,1.8998120755301087e-07
ETNK1,3.755893078757707e-06,2.2887670051123177e-05
FARSA,1.4670762426305133e-07,1.6678823033405649e-06
QRICH1,7.116138435172657e-10,3.290912494977728e-08
EBP,1.0668966154822342e-05,5.4821608575202936e-05
ZNF512,1.8155068351913212e-06,1.2461912955520805e-05
PTPN12,9.218947711255498e-06,4.8280036142342854e-05
CHAMP1,1.1074284782806174e-05,5.6611121367469125e-05
MMS19,1.854052908862765e-08,3.4649201108438726e-07
IER3IP1,1.1923706445813371e-05,6.0359616024864165e-05
STAU1,4.853572606480671e-06,2.8342371015050856e-05
SRRT,7.52534583495118e-12,1.4933022625937668e-09
FOXK2,3.5454924551056157e-06,2.196883227408297e-05
TBK1,2.0376616216796418e-07,2.184200329029177e-06
U2AF2,2.860895388654127e-06,1.835615065947745e-05
COA5,6.055889437330743e-09,1.485257917281522e-07
SC5D,2.5225992454907116e-07,2.5875609177900027e-06
MOGS,2.4118872439799913e-12,8.983370450415553e-10
STK39,1.4043877007340006e-05,6.948090374347635e-05
TCF3,5.2207508883479487e-08,7.679147600462198e-07
FBXL3,1.386951016163888e-07,1.596749302786147e-06
ZMYM3,1.7924760641167707e-10,1.2460562906860149e-08
NCOA5,2.1277037516363216e-07,2.26332931241314e-06
CDC25B,5.435045201199584e-08,7.8775675067586e-07
SLC25A22,1.382880375850055e-07,1.5937440783555966e-06
ITPRID2,1.165873130123021e-08,2.446988335031279e-07
RAB11A,9.161229102999929e-06,4.807002616833712e-05
GLRX,7.423513490209508e-09,1.7423704566053025e-07
RPL27,4.4732710952111084e-06,2.6490114342449285e-05
TBC1D23,5.162018242630179e-08,7.654655855987197e-07
LSM1,3.0045036623712134e-07,2.9611076885161267e-06
NCOR2,1.8211520712936758e-10,1.2500662708238476e-08
ATP2B4,8.331411701917611e-14,9.09290273147288e-11
MEF2A,3.0961910889774066e-07,3.0197674550426715e-06
DLD,1.8990475467940832e-07,2.0664212288844093e-06
SF3A3,1.2639136197193222e-05,6.35684481364824e-05
ARL2,1.0456136448146876e-08,2.2508192881590553e-07
EMP3,9.699848483661877e-07,7.4447360302873226e-06
ATG5,8.098819326788368e-08,1.0485232993187217e-06
PPP1R15B,3.0989000821401797e-07,3.0197674550426715e-06
KMT2D,4.800437712289369e-08,7.317315250269018e-07
C2CD5,9.60617810569222e-07,7.378031516222723e-06
FOXJ2,2.4933218568295245e-08,4.4103913687905077e-07
BTD,1.914807699940911e-09,6.390890286591775e-08
HNRNPAB,4.556035600244519e-10,2.4200530585193883e-08
TBC1D13,1.6487203456877992e-06,1.1542099969747686e-05
PPP1R10,4.737780850527578e-06,2.7841110738942413e-05
URGCP,2.3369902768478085e-06,1.5427871350742543e-05
ACACA,8.224962568979684e-09,1.8661465841491492e-07
SMAD3,3.924892480566385e-09,1.0808909135166133e-07
HNRNPUL1,1.9713664845894283e-07,2.123938184877495e-06
EIF3L,6.536840961185701e-07,5.458537280059735e-06
TRIAP1,5.854340537445811e-07,5.007388136809059e-06
UBL3,2.6106913375563627e-07,2.6554599494958197e-06
FXYD5,3.7337926415698316e-07,3.5190511994899086e-06
HK1,8.237430767969257e-09,1.8661465841491492e-07
GSE1,1.7024365412616706e-06,1.1849740058246092e-05
SCAMP4,1.9969717215106955e-09,6.566711570304318e-08
VPS33B,4.076800962603532e-09,1.109184891511344e-07
FDPS,9.72254477244322e-06,5.045737215713043e-05
ZZZ3,4.204585770647076e-06,2.510330913612811e-05
PRKAG2,2.5113137065683916e-07,2.578408070883107e-06
AIFM1,8.450218875926773e-06,4.479149529473764e-05
ZHX2,4.9965251068887524e-08,7.441597431657985e-07
TRIM26,1.4334998169152389e-12,6.01739115454343e-10
GPKOW,1.6371274433587098e-05,7.913024320999539e-05
SMARCA5,3.207138388698326e-06,2.0197754399453856e-05
ACD,6.877929052418757e-08,9.406731538608813e-07
SRP68,4.860699312012683e-08,7.34760004034715e-07
EXOC1,2.8875713770982054e-07,2.87283081218321e-06
UBE2Q1,4.496801781106615e-06,2.6615018784705852e-05
GPCPD1,2.100748579135174e-05,9.743973647548358e-05
SRSF10,1.1040329927262244e-05,5.654348232104182e-05
TSPAN14,2.00063010748636e-08,3.6673485444142416e-07
TAF9,8.203307495057235e-06,4.3737615046924596e-05
SMG7,9.139833354793151e-07,7.0897044231849654e-06
SIK3,1.7749387857329367e-08,3.3631392200502207e-07
TMEM243,4.1335933610224425e-07,3.83030460711683e-06
PARP6,7.841126075539267e-08,1.0323045836964481e-06
DNMT3A,1.3489369994013303e-06,9.788762241666302e-06
PSMA1,8.649853033897157e-06,4.5650143139242536e-05
SAP30BP,9.641218834727674e-08,1.1998205514506023e-06
ATXN2,2.315929403298993e-09,7.080127032942636e-08
TP53INP1,5.428957240744392e-09,1.3589825533367957e-07
JMJD1C,4.758323346454319e-06,2.7875652712400665e-05
PKD2,1.018162071324435e-05,5.25152213914692e-05
CHMP5,4.806556928828377e-14,5.828751369025878e-11
SRP14,3.914968708177093e-06,2.3711414251412206e-05
ENY2,5.614298680520103e-10,2.7979203561276897e-08
IRF3,2.0388566082065462e-06,1.3778378341774767e-05
ARFIP1,6.61191405379659e-06,3.659352433221906e-05
TBC1D9B,1.782113209765464e-05,8.476769218449718e-05
SFSWAP,2.0884634787440964e-07,2.2324672288945218e-06
CCDC97,2.8902987226636655e-06,1.8461794560083308e-05
POGK,7.035777004436133e-08,9.598558778301993e-07
PCMTD1,5.71239518234544e-07,4.912929946423809e-06
MTMR10,6.002328549630339e-08,8.507716076709807e-07
LAMTOR3,6.506931857522287e-11,6.069799512222072e-09
SRRM1,1.2941358156688605e-11,2.0469852597405715e-09
PCMT1,1.4740412419075939e-08,2.9197252475824826e-07
ZNF302,2.132803488849918e-09,6.814288426334528e-08
EXOC4,5.037215628278375e-10,2.5689799704219714e-08
C1orf216,1.359169777169218e-05,6.776600707183574e-05
PDCD10,1.3516926660565272e-08,2.736989565369376e-07
IGIP,2.794730611472263e-06,1.803766404116397e-05
EHD1,1.2597690894494452e-05,6.341844945687843e-05
NDUFS2,8.06236202998403e-09,1.8408497739591148e-07
CXCL8,1.0495679143143066e-06,7.949329782669217e-06
VPS35L,1.3745783708064161e-09,5.173154599648698e-08
ZBED5,1.1315688555006807e-07,1.3616254122309184e-06
NUDCD3,7.755895066678887e-07,6.23786578907394e-06
SUPV3L1,5.022527785200265e-07,4.452954366179991e-06
COX10,2.6639169145053417e-06,1.734724892894469e-05
DHRS1,7.930341649609657e-06,4.2520483605143886e-05
SMC1A,2.4693156818074635e-12,8.983370450415553e-10
PSMC4,1.5234676918781377e-10,1.1159145227622816e-08
TPRKB,2.016525104040016e-06,1.3661300425507595e-05
POLG,7.255371282155836e-08,9.79110302620981e-07
ARID5B,5.844534301577069e-06,3.288002441619182e-05
TGIF2,1.8128136256246523e-06,1.2451257337990847e-05
PGPEP1,1.9247348151773536e-06,1.3153760659264645e-05
MPP5,1.4973272420488042e-05,7.354558739748267e-05
NUFIP2,5.263460443550279e-06,3.0287256510488838e-05
ARPP19,6.156089563287352e-08,8.658190914138938e-07
TMED5,8.339345866804166e-07,6.614507324876502e-06
ANKH,1.0740468670220755e-07,1.3039096225449313e-06
PAPOLA,2.77585521339557e-07,2.7845297609374314e-06
CBFB,1.2482477814513042e-06,9.14320556158358e-06
ZNF652,5.0921595654970905e-06,2.9467566011577544e-05
TSPYL2,1.5300603487955392e-06,1.0857658417915808e-05
PIP5K1C,1.4563971064400878e-10,1.0957616215282135e-08
FTSJ3,9.914022102925757e-10,4.129833482111897e-08
ALKBH5,2.5281830640226176e-09,7.601264451995275e-08
SNRK,1.3688865055334262e-07,1.5792840720287327e-06
BTN2A1,3.3171314638546163e-06,2.0734921418390197e-05
CEP350,6.693772553065273e-07,5.55980469133595e-06
HSPA13,6.005477712638595e-07,5.100683560757792e-06
MOB4,1.6683131271033113e-08,3.1943806086325507e-07
SMARCC2,6.233203804052624e-08,8.744111351854799e-07
PCK2,1.797343364685928e-06,1.2376154878348402e-05
SENP6,1.5996602803075216e-09,5.761944653226499e-08
ELMO2,7.833691473204448e-07,6.291163262586707e-06
PJA2,5.094929616181804e-07,4.487979163116077e-06
GOT2,5.075790875963178e-12,1.2590268550059575e-09
CGRRF1,6.384229767703417e-09,1.5415372496618382e-07
FAM49B,2.2733151613755898e-07,2.394880470198184e-06
INSIG2,7.870778973010613e-08,1.0344919000396704e-06
SAP130,2.0353944600848757e-11,2.8849733944631603e-09
DRAM1,4.161783512641353e-06,2.488860562025629e-05
N4BP2L2,2.5095900049248348e-08,4.4319846786002664e-07
NRAS,1.1484917444852104e-05,5.840931453546872e-05
STXBP3,9.084102982988755e-12,1.6679333513657406e-09
POLR1C,4.6495651122002035e-07,4.2112326667678855e-06
CCND2,8.469620121421166e-06,4.485076856147045e-05
MOB1B,6.955646228273734e-07,5.712108573015766e-06
CNOT11,3.5263525536726614e-06,2.1904730660662164e-05
LRP6,8.626438669745212e-06,4.554859779467791e-05
SPRYD3,3.3318499680758967e-06,2.080309528122445e-05
SERINC1,3.703358972168606e-12,1.0512859438966546e-09
GUSB,2.120957109320397e-05,9.816847282070743e-05
UBE2D3,6.886293433538137e-07,5.66794921068139e-06
PSMA2,1.0784246965679347e-08,2.2994183305960085e-07
ZNF444,9.280384929745862e-06,4.8578475358871143e-05
CRY2,6.754374891049157e-08,9.284288105908122e-07
PIBF1,6.996081355254571e-07,5.723780503092083e-06
KDM1A,6.277183545388915e-12,1.3440501543089736e-09
RCBTB1,4.2038822131668585e-08,6.639822065774688e-07
GYS1,9.78725410656162e-06,5.072084108215267e-05
DYNLT3,2.6230585156445547e-06,1.7101589390528476e-05
DAXX,5.235388934657954e-09,1.335024178337778e-07
THOC7,6.507241710881947e-08,9.012694927990554e-07
MAFK,1.7169720419281696e-05,8.215270874881212e-05
YES1,1.9217275636030396e-07,2.0848642772528402e-06
ANKRA2,1.2190432313245008e-06,8.977488412061809e-06
PHF8,3.5452747566355776e-06,2.196883227408297e-05
HECA,5.51089638402867e-07,4.762147516649953e-06
EXOC5,6.534788045242869e-06,3.62033892009039e-05
DCP1A,8.215792858760793e-06,4.378279456079848e-05
CSTA,5.352544159349607e-09,1.349151718013139e-07
TMEM189,1.4010032464004642e-11,2.1535985114386853e-09
NFATC3,1.1069564505461587e-12,5.252749000548163e-10
PHC1,1.397049516629146e-06,1.0044399489124175e-05
MMP19,2.15701826194626e-07,2.2900483765448915e-06
RCHY1,1.3859371476529969e-08,2.780536402478825e-07
RPRD2,7.08183443659308e-08,9.648429248231074e-07
